canonical_smiles,pchembl_value_mean,pchembl_value_stddev,target,SMILES_from_mol,Compound,SMILES,PDB ,Ligand ID,Rationale
CC(=O)N1CC(n2nc(C)c3c2C(=O)N(c2cc(C)c(=O)n(C)c2)C3c2ccc(Cl)cc2)C1,6.8,,BRD2,CC(=O)N1CC(n2nc(C)c3c2C(=O)N(c2cc(C)c(=O)n(C)c2)C3c2ccc(Cl)cc2)C1,,,,,
CC(=O)N1CC(n2nc(C)c3c2C(=O)N(c2cc(C)c(=O)n(C)c2)C3c2ccc(Cl)cc2)C1,6.89,,BRD3,CC(=O)N1CC(n2nc(C)c3c2C(=O)N(c2cc(C)c(=O)n(C)c2)C3c2ccc(Cl)cc2)C1,,,,,
CC(=O)N1CC(n2nc(C)c3c2C(=O)N(c2cc(C)c(=O)n(C)c2)C3c2ccc(Cl)cc2)C1,6.85,,BRD4,CC(=O)N1CC(n2nc(C)c3c2C(=O)N(c2cc(C)c(=O)n(C)c2)C3c2ccc(Cl)cc2)C1,,,,,
CC(=O)N1CC(n2nc(C)c3c2C(=O)N(c2cc(C)c4nnc(C)n4c2)C3c2ccc(Cl)cc2)C1,6.92,,BRD2,CC(=O)N1CC(n2nc(C)c3c2C(=O)N(c2cc(C)c4nnc(C)n4c2)C3c2ccc(Cl)cc2)C1,,,,,
CC(=O)N1CC(n2nc(C)c3c2C(=O)N(c2cc(C)c4nnc(C)n4c2)C3c2ccc(Cl)cc2)C1,6.92,,BRD3,CC(=O)N1CC(n2nc(C)c3c2C(=O)N(c2cc(C)c4nnc(C)n4c2)C3c2ccc(Cl)cc2)C1,,,,,
CC(=O)N1CC(n2nc(C)c3c2C(=O)N(c2cc(C)c4nnc(C)n4c2)C3c2ccc(Cl)cc2)C1,7.04,,BRD4,CC(=O)N1CC(n2nc(C)c3c2C(=O)N(c2cc(C)c4nnc(C)n4c2)C3c2ccc(Cl)cc2)C1,,,,,
CC(=O)N1c2ccc(-c3ccc(C#N)cc3)cc2[C@H](Nc2cccc(F)c2)C[C@@H]1C,5.9,,BRD2,CC(=O)N1c2ccc(-c3ccc(C#N)cc3)cc2C(Nc2cccc(F)c2)CC1C,,,,,
CC(=O)N1c2ccc(-c3ccc(C#N)cc3)cc2[C@H](Nc2cccc(F)c2)C[C@@H]1C,6.1,,BRD3,CC(=O)N1c2ccc(-c3ccc(C#N)cc3)cc2C(Nc2cccc(F)c2)CC1C,,,,,
CC(=O)N1c2ccc(-c3ccc(C#N)cc3)cc2[C@H](Nc2cccc(F)c2)C[C@@H]1C,6.0,,BRD4,CC(=O)N1c2ccc(-c3ccc(C#N)cc3)cc2C(Nc2cccc(F)c2)CC1C,,,,,
CC(=O)N1c2ccc(-c3ccc(C#N)cc3)cc2[C@H](Nc2ccccc2)C[C@@H]1C,6.0,,BRD2,CC(=O)N1c2ccc(-c3ccc(C#N)cc3)cc2C(Nc2ccccc2)CC1C,,,,,
CC(=O)N1c2ccc(-c3ccc(C#N)cc3)cc2[C@H](Nc2ccccc2)C[C@@H]1C,6.1,,BRD3,CC(=O)N1c2ccc(-c3ccc(C#N)cc3)cc2C(Nc2ccccc2)CC1C,,,,,
CC(=O)N1c2ccc(-c3ccc(C#N)cc3)cc2[C@H](Nc2ccccc2)C[C@@H]1C,6.2,,BRD4,CC(=O)N1c2ccc(-c3ccc(C#N)cc3)cc2C(Nc2ccccc2)CC1C,,,,,
CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(C)cc2)C[C@@H]1C,6.5,0.2828427124746193,BRD2,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2C(Nc2ccc(C)cc2)CC1C,,,,,
CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(C)cc2)C[C@@H]1C,6.65,0.2121320343559638,BRD3,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2C(Nc2ccc(C)cc2)CC1C,,,,,
CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(C)cc2)C[C@@H]1C,6.4,0.2828427124746183,BRD4,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2C(Nc2ccc(C)cc2)CC1C,,,,,
CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(S(C)(=O)=O)cc2)C[C@@H]1C,6.0,,BRD2,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2C(Nc2ccc(S(C)(=O)=O)cc2)CC1C,,,,,
CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(S(C)(=O)=O)cc2)C[C@@H]1C,6.5,,BRD3,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2C(Nc2ccc(S(C)(=O)=O)cc2)CC1C,,,,,
CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(S(C)(=O)=O)cc2)C[C@@H]1C,6.5,,BRD4,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2C(Nc2ccc(S(C)(=O)=O)cc2)CC1C,,,,,
CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccccc2)C[C@@H]1C,6.2,,BRD2,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2C(Nc2ccccc2)CC1C,,,,,
