canonical_smiles,pchembl_value_mean,pchembl_value_stddev,target
Brc1ccc2cc(-c3n[nH]c4cccnc34)[nH]c2c1,6.64,,ITK
Brc1cccc2[nH]c(-c3n[nH]c4cccnc34)cc12,6.62,,ITK
Brc1cnc2[nH]cc(-c3ccccc3)c2c1,6.7,,ITK
C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)C1,5.79,,ITK
C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,6.33,,ITK
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5)cc4)[nH]c23)C1,6.42,,ITK
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5F)cc4)[nH]c23)CC1,4.43,,ITK
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)CC1,5.85,,ITK
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,6.13,,ITK
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)CC1,5.69,,ITK
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5F)cc4)[nH]c23)CC1,5.05,,ITK
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5OC)cc4)[nH]c23)C1,5.72,,ITK
C#CC(=O)Nc1cc(-c2cnc3[nH]cc(C)c3c2)ccc1F,7.49,0.04242640687119289,ITK
C#CC(=O)Nc1cc(-c2cnc3[nH]cc(Cl)c3c2)ccc1F,7.49,0.04242640687119289,ITK
C#CC(=O)Nc1cc(-c2cnc3[nH]ccc3c2)ccc1F,7.49,0.04242640687119289,ITK
C#CC(=O)Nc1cccc(-c2cnc3[nH]cc(C)c3c2)n1,7.49,0.04242640687119289,ITK
C#CC(=O)Nc1cccc(-c2cnc3[nH]cc(Cl)c3c2)c1,7.49,0.04242640687119289,ITK
C#CC(=O)Nc1cccc(-c2cnc3[nH]cc(Cl)c3c2)n1,7.49,0.04242640687119289,ITK
C#CC(=O)Nc1cccc(-c2cnc3[nH]ccc3c2)n1,7.49,0.04242640687119289,ITK
C#CC1(C(=O)Nc2cccc(-c3cnc4[nH]cc(Cl)c4c3)c2)CC1,7.49,0.04242640687119289,ITK
C#CCCN1CCN(c2ccc(Nc3nc(OC4CCN(C(=O)C=C)CC4)c4c(-c5cncc(NC)n5)c[nH]c4n3)cc2)CC1,7.26,,ITK
C#CCCOC(c1ccccc1)c1cc(OCCNC(=O)C=C)c2cc(-c3n[nH]c4cc(C(F)F)ccc34)[nH]c2c1,8.07,,ITK
C(#Cc1ccc2cc(-c3n[nH]c4cccnc34)[nH]c2c1)CCc1cccnc1,6.3,,ITK
C/C(=C\C#N)c1ccc(C(=O)/N=c2\[nH]c3cc(N(C)C(=O)c4ccccc4)ccc3n2CCC(N)=O)s1,6.87,0.4666904755831215,ITK
C/C=C/C(=O)NCCOc1cccc2[nH]c(-c3n[nH]c4cc(C(F)F)ccc34)cc12,7.08,,ITK
C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,4.52,,ITK
C=CC(=O)N(C)CCOc1c(N)ncnc1-c1ccc(CN2CCN(CC(C)C)CC2=O)c(C)c1,4.52,,ITK
C=CC(=O)N(C)CCn1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,6.27,0.0,ITK
C=CC(=O)N1CC(Oc2cccc3[nH]c(-c4n[nH]c5cc(C(F)F)ccc45)cc23)C1,7.24,,ITK
C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,5.43,,ITK
C=CC(=O)N1CCC(Oc2cccc3[nH]c(-c4n[nH]c5cc(C(F)F)ccc45)cc23)C1,6.65,,ITK
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)nc3[nH]cc(-c4cncc(NC)n4)c23)CC1,8.64,,ITK
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCOCC4)cc3)nc3[nH]cc(-c4cccc(NC)n4)c23)CC1,7.13,,ITK
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCOCC4)cc3)nc3[nH]cc(-c4cncc(NC)c4)c23)CC1,8.44,,ITK
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCOCC4)cc3)nc3[nH]cc(-c4cncc(NC)n4)c23)CC1,8.315,0.16263455967290624,ITK
C=CC(=O)N1CCC([C@@H]2CCNC3C(C(N)=O)C(c4ccc(Oc5ccccc5)cc4)=NN32)CC1,7.3,,ITK
C=CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)CC1,5.96,,ITK
C=CC(=O)N1CCCC(n2nc(-c3cccc(C(=O)Nc4ccc(C(C)C)cc4)c3)c3c(N)ncnc32)C1,7.550000000000001,0.2121320343559638,ITK
C=CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(-c4ccc(Cl)cc4)ccn3)cc2)c(C(N)=O)n1N,5.72,,ITK
C=CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(-c4ccc(F)cc4)ccn3)cc2)c(C(N)=O)n1N,5.22,,ITK
C=CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(-c4ccccc4)ccn3)cc2)c(C(N)=O)n1N,5.66,,ITK
C=CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(Br)ccn3)cc2)c(C(N)=O)n1N,4.82,,ITK
C=CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(C(F)(F)F)ccn3)cc2)c(C(N)=O)n1N,6.07,,ITK
C=CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(Cl)ccn3)cc2)c(C(N)=O)n1N,4.53,,ITK
C=CC(=O)N1CCC[C@@H](Oc2nc(Nc3ccc(N4CCN(CC)CC4)cc3)nc3[nH]cc(-c4cncc(NC)n4)c23)C1,8.89,,ITK
C=CC(=O)N1CCC[C@@H](Oc2nc(Nc3ccc(N4CCOCC4)cc3)nc3[nH]cc(-c4cncc(NC)n4)c23)C1,8.24,,ITK
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(C(F)(F)F)cc3)c3c(N)ncnc32)C1,4.28,,ITK
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(CO)cc3)c3c(N)ncnc32)C1,5.98,,ITK
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(NC)nc3)c3c(N)ncnc32)C1,4.99,,ITK
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(OC(F)(F)F)cc3)c3c(N)ncnc32)C1,4.67,,ITK
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(OC)c(OC)c3)c3c(N)ncnc32)C1,4.67,,ITK
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(OC)cc3)c3c(N)ncnc32)C1,5.35,,ITK
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(OC)nc3)c3c(N)ncnc32)C1,4.64,,ITK
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc([S+](C)[O-])cc3)c3c(N)ncnc32)C1,4.66,,ITK
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc4c(c3)OCCO4)c3c(N)ncnc32)C1,5.08,,ITK
