Molecule Name,SMILES_x,SMILES_clean,ORIGIN,structure_ID
PCM-0220489,CCN(C1=CC=CC=C1)S(=O)(=O)C1=CC(NC(=O)CCl)=C(OC)C=C1,CCN(c1ccccc1)S(=O)(=O)c1ccc(OC)c(NC(=O)CCl)c1,,
PCM-0220052,CN(CC(=O)NC1=C(Br)C=CC=C1)C(=O)CCl,CN(CC(=O)Nc1ccccc1Br)C(=O)CCl,,
PCM-0220024,COC(=O)C1=CC(=CC(=C1)N1C(C)=CC(C(=O)CCl)=C1C)C(=O)OC,COC(=O)c1cc(C(=O)OC)cc(-n2c(C)cc(C(=O)CCl)c2C)c1,,
PCM-0220020,CC1=C(N2C=CC=CC2=C1C(=O)CCl)C(=O)C1=CC=C(F)C=C1,Cc1c(C(=O)CCl)c2ccccn2c1C(=O)c1ccc(F)cc1,MOONSHOT,x11590
PCM-0220014,CC1=CC(C(=O)CCl)=C(C)N1CC1COC2=C(O1)C=CC=C2,Cc1cc(C(=O)CCl)c(C)n1CC1COc2ccccc2O1,,
PCM-0219788,COC1=C(OC(F)F)C=CC(=C1)C1CC(=NN1C(=O)CCl)C1=CC=CS1,COc1cc(C2CC(c3cccs3)=NN2C(=O)CCl)ccc1OC(F)F,,
PCM-0219740,ClCC(=O)N1N=C(CC1C1=CC=CC=C1)C1=CC2=C(C=CC=C2)C=C1,O=C(CCl)N1N=C(c2ccc3ccccc3c2)CC1c1ccccc1,,
PCM-0219738,ClCC(=O)N1N=C(CC1C1=CC=CO1)C1=CC2=C(O1)C=CC=C2,O=C(CCl)N1N=C(c2cc3ccccc3o2)CC1c1ccco1,,
PCM-0219681,[O-][N+](=O)C1=CC(=CC=C1)S(=O)(=O)N1CCN(CC1)C(=O)CCl,O=C(CCl)N1CCN(S(=O)(=O)c2cccc([N+](=O)[O-])c2)CC1,,
PCM-0219667,CC1=CC(C(=O)CCl)=C(C)N1NC(=O)C1=NNC(=O)C2=C1C=CC=C2,Cc1cc(C(=O)CCl)c(C)n1NC(=O)c1n[nH]c(=O)c2ccccc12,MOONSHOT,x11587
PCM-0219647,CC(=O)C1=CC(=CC=C1)S(=O)(=O)N1CCN(CC1)C(=O)CCl,CC(=O)c1cccc(S(=O)(=O)N2CCN(C(=O)CCl)CC2)c1,,
PCM-0219645,FC(F)(F)C1=C(NC(=O)CN(CC2=CC=CO2)C(=O)CCl)C=CC=C1,O=C(CN(Cc1ccco1)C(=O)CCl)Nc1ccccc1C(F)(F)F,,
PCM-0219641,CC1=CC=CC(C)=C1NC(=O)CN1CCN(CC1)C(=O)CCl,Cc1cccc(C)c1NC(=O)CN1CCN(C(=O)CCl)CC1,,
PCM-0219639,CSC1=C(C#N)C2(CCCCC2)C(C#N)=C(NC(=O)CCl)N1,CSC1=C(C#N)C2(CCCCC2)C(C#N)=C(NC(=O)CCl)N1,MOONSHOT,x11579
PCM-0219571,COC1=CC=C(C=C1)C1CC(=NN1C(=O)CCl)C1=CC2=C(C=CC=C2)C=C1,COc1ccc(C2CC(c3ccc4ccccc4c3)=NN2C(=O)CCl)cc1,,
PCM-0217988,COC1=CC=C(C=C1)C1C(O)C(=NN1C(=O)CCl)C1=CNC2=C1C=CC=C2,COc1ccc(C2C(O)C(c3c[nH]c4ccccc34)=NN2C(=O)CCl)cc1,,
PCM-0217939,ClCC(=O)N1CCC(C1)NC1=CC(=CC=C1)C#N,N#Cc1cccc(NC2CCN(C(=O)CCl)C2)c1,,
PCM-0217873,CS(=O)(=O)NC1=CC(=CC=C1)C1=NN(C(C1)C1=CC=CC=C1)C(=O)CCl,CS(=O)(=O)Nc1cccc(C2=NN(C(=O)CCl)C(c3ccccc3)C2)c1,,
PCM-0217167,CN(C)S(=O)(=O)C1=CC(=CC=C1)C(=O)NC1=C(N=C2SC=CN12)C1=CC=CC=C1,CN(C)S(=O)(=O)c1cccc(C(=O)Nc2c(-c3ccccc3)nc3sccn23)c1,,
PCM-0202980,CN1C2=CC3=CC=CC=C3C(=O)N2C(=O)C2=C1C=CC=C2,Cn1c2ccccc2c(=O)n2c(=O)c3ccccc3cc12,,
PCM-0202861,CN(C)C1OC2=C(C=C1C)C(=O)C1=CC=CC3=C1C2=CC=C3,CC1=CC2=C(OC1N(C)C)c1cccc3cccc(c13)C2=O,,
PCM-0194133,CC(C)N(C(C)C)C(=O)CC1=C(O)C2=CC=CC=C2NC1=O,CC(C)N(C(=O)Cc1c(O)c2ccccc2[nH]c1=O)C(C)C,,
PCM-0182258,COC(=O)C1=C(NCCCC2=CC=CC=C2)C2=CC(F)=CC=C2NC1=O,COC(=O)c1c(NCCCc2ccccc2)c2cc(F)ccc2[nH]c1=O,,
PCM-0178391,CC(C)CN1C=C(NC(=O)NCCC2=CNC3=C2C=CC=C3)C2=CC=CC=C2C1=O,CC(C)Cn1cc(NC(=O)NCCc2c[nH]c3ccccc23)c2ccccc2c1=O,,
PCM-0178389,CC(C)CN1C=C(NC(=O)NCCC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O,CC(C)Cn1cc(NC(=O)NCCc2ccc(Cl)cc2)c2ccccc2c1=O,,
PCM-0178387,CC(C)CN1C=C(NC(=O)NCCN2CCOCC2)C2=CC=CC=C2C1=O,CC(C)Cn1cc(NC(=O)NCCN2CCOCC2)c2ccccc2c1=O,,
PCM-0178385,CC(C)CN1C=C(NC(=O)NC2=NOC(C)=C2)C2=CC=CC=C2C1=O,Cc1cc(NC(=O)Nc2cn(CC(C)C)c(=O)c3ccccc23)no1,,
PCM-0178351,CC(C)CN1C=C(NC(=O)NC2=NC=CC=C2C)C2=CC=CC=C2C1=O,Cc1cccnc1NC(=O)Nc1cn(CC(C)C)c(=O)c2ccccc12,,
PCM-0178349,CC(C)CN1C=C(NC(=O)NCC2=CC=C3OCOC3=C2)C2=CC=CC=C2C1=O,CC(C)Cn1cc(NC(=O)NCc2ccc3c(c2)OCO3)c2ccccc2c1=O,,
PCM-0178347,CC(C)CN1C=C(NC(=O)NC2CCCCCC2)C2=CC=CC=C2C1=O,CC(C)Cn1cc(NC(=O)NC2CCCCCC2)c2ccccc2c1=O,,
PCM-0178345,CC(C)CN1C=C(NC(=O)NC2=CC=C(C)C=C2Br)C2=CC=CC=C2C1=O,Cc1ccc(NC(=O)Nc2cn(CC(C)C)c(=O)c3ccccc23)c(Br)c1,,
PCM-0178314,CC(C)CN1C=C(NC(=O)NCC2CCN(CC3=CC=C(C)C=C3)C2)C2=CC=CC=C2C1=O,Cc1ccc(CN2CCC(CNC(=O)Nc3cn(CC(C)C)c(=O)c4ccccc34)C2)cc1,,
PCM-0178313,COC1=CC(CCNC(=O)NC2=CN(CC(C)C)C(=O)C3=CC=CC=C23)=C(OC)C=C1,COc1ccc(OC)c(CCNC(=O)Nc2cn(CC(C)C)c(=O)c3ccccc23)c1,,
PCM-0178311,CC(C)CN1C=C(NC(=O)NC2=CN=CC=C2)C2=CC=CC=C2C1=O,CC(C)Cn1cc(NC(=O)Nc2cccnc2)c2ccccc2c1=O,,
PCM-0178307,CC(C)CN1C=C(NC(=O)NCC2=CC=CO2)C2=CC=CC=C2C1=O,CC(C)Cn1cc(NC(=O)NCc2ccco2)c2ccccc2c1=O,,
PCM-0178305,CC(C)CN1C=C(NC(=O)NCCC2=CCCCC2)C2=CC=CC=C2C1=O,CC(C)Cn1cc(NC(=O)NCCC2=CCCCC2)c2ccccc2c1=O,,
PCM-0178273,CC(C)CN1C=C(NC(=O)N2CCCN(CC3=C(F)C=CC=C3)C2)C2=CC=CC=C2C1=O,CC(C)Cn1cc(NC(=O)N2CCCN(Cc3ccccc3F)C2)c2ccccc2c1=O,,
