dataset,gtcregno,pIC50_mean,pIC50_stddev,smiles,Pass stddev check,Compound crystallised with protein
Chrom_Assay,GTC000001A,7.979303657420887,0.029269048366900915,COC(=O)CN([C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O)S(=O)(=O)c1ccc2cc(Cl)ccc2c1,True,False
Chrom_Assay,GTC000002A,7.883014500828605,0.17935087124431104,C[C@H](N1CC[C@H](N(CC(O)=O)S(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O)C(=O)N1CCOCC1,True,False
FlintA_Assay,GTC000002A,8.520499999999998,0.08131727983645248,C[C@H](N1CC[C@H](N(CC(O)=O)S(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O)C(=O)N1CCOCC1,True,False
Chrom_Assay,GTC000003A,7.650741066155225,0.057286153293811905,C[C@H](N1CC[C@H](N(CC#N)S(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O)C(=O)N1CCOCC1,True,False
FlintA_Assay,GTC000003A,8.1855,0.02050609665440982,C[C@H](N1CC[C@H](N(CC#N)S(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O)C(=O)N1CCOCC1,True,False
Chrom_Assay,GTC000004A,7.174360993000927,0.027519228400740024,C[C@H](N1CC[C@H](N(CC=C)S(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O)C(=O)N1CCOCC1,True,False
Chrom_Assay,GTC000005A,7.688458124865701,0.12712701881439645,C[C@H](N1CC[C@H](N(CC(N)=O)S(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O)C(=O)N1CCOCC1,True,False
FlintA_Assay,GTC000005A,8.3765,0.19162593770155495,C[C@H](N1CC[C@H](N(CC(N)=O)S(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O)C(=O)N1CCOCC1,True,False
Chrom_Assay,GTC000006A,8.224498619991182,0.18297326061662944,CCC(=O)CN([C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O)S(=O)(=O)c1ccc2cc(Cl)ccc2c1,True,True
Flint2_Assay,GTC000006A,8.924742501084003,0.1505149978319898,CCC(=O)CN([C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O)S(=O)(=O)c1ccc2cc(Cl)ccc2c1,True,True
FlintA_Assay,GTC000006A,8.689,0.168291413922398,CCC(=O)CN([C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O)S(=O)(=O)c1ccc2cc(Cl)ccc2c1,True,True
Chrom_Assay,GTC000007A,7.154946280271834,0.008774670468437443,C[C@H](N1CC[C@H](N(C)S(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O)C(=O)N1CCOCC1,True,False
Chrom_Assay,GTC000008A,7.555349148746844,0.06605910708809114,C[C@H](N1CC[C@H](N(CC#N)S(=O)(=O)c2ccc(s2)-c2ccc(Cl)s2)C1=O)C(=O)N1CCOCC1,True,False
Chrom_Assay,GTC000009A,7.809894379144196,0.01981930052573572,COC(=O)CN([C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O)S(=O)(=O)c1ccc(s1)-c1ccc(Cl)s1,True,False
Chrom_Assay,GTC000010A,7.770303756120383,0.036170295497340514,CCC(=O)CN([C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O)S(=O)(=O)c1ccc(s1)-c1ccc(Cl)s1,True,False
Chrom_Assay,GTC000011A,7.0613065354730224,0.06221439296075892,N#CCN([C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O)S(=O)(=O)\C=C\c1ccc(Cl)cc1,True,False
Chrom_Assay,GTC000012A,7.227656209795975,0.06811457985516194,CCC(=O)CN([C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O)S(=O)(=O)\C=C\c1ccc(Cl)cc1,True,False
Chrom_Assay,GTC000013A,7.224863692061686,0.06309003861111634,COC(=O)CN([C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O)S(=O)(=O)\C=C\c1ccc(Cl)cc1,True,False
Chrom_Assay,GTC000014A,7.40184334588149,0.06624157763475008,C[C@H](N1CC[C@H](N(Cc2ccoc2)S(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O)C(=O)N1CCOCC1,True,False
Chrom_Assay,GTC000015A,7.58326198549145,0.053341960894699086,OC=O.C[C@H](N1CC[C@H](N(Cc2cccnc2)S(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O)C(=O)N1CCOCC1,True,False
Chrom_Assay,GTC000016A,7.6259059864969,0.10332812494955167,C[C@H](N1CC[C@H](N(CC(O)=O)S(=O)(=O)c2ccc(s2)-c2ccc(Cl)s2)C1=O)C(=O)N1CCOCC1,True,False
Flint1_Assay,GTC000016A,8.415,0.09192388155425237,C[C@H](N1CC[C@H](N(CC(O)=O)S(=O)(=O)c2ccc(s2)-c2ccc(Cl)s2)C1=O)C(=O)N1CCOCC1,True,False
