gtcregno,pIC50_mean,pIC50_stddev,smiles,Pass stddev check,Compound crystallised with protein
GTC000107A,6.981750000000001,0.1808708102486412,OC=O.O=C1Cc2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc2N1,True,False
GTC000108A,6.830500000000001,0.23829498525986603,OC(=O)C(F)(F)F.NC(=O)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000108B,7.256,0.04666904755831233,OC=O.NC(=O)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000109A,7.271,,OC=O.Cc1cc(=O)[nH]c2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc12,True,False
GTC000110A,6.273,,OC=O.NC(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000111A,6.653,,OC=O.C1Cc2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc2O1,True,False
GTC000112A,7.1875,0.1265721138323922,N(c1ccc2nn[nH]c2c1)c1nccc(Nc2cccc3[nH]ncc23)n1,True,False
GTC000113A,6.797000000000001,,OC=O.N(c1ccnc(Nc2cccc3[nH]ncc23)n1)c1cccc2[nH]ncc12,True,False
GTC000114A,6.686,,OC=O.CC(=O)N1CCc2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc12,True,False
GTC000115A,7.106,,OC=O.O=c1[nH]c2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2[nH]1,True,False
GTC000116A,6.774000000000001,0.08909545442950491,OC=O.O=C1CCc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc12,True,False
GTC000117A,7.04,,O=C1CCCc2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc12,True,False
GTC000118A,7.0865,0.31623250939775327,OC(=O)C(F)(F)F.COc1cc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc(OC)c1,True,False
GTC000119A,6.683,,OC(=O)C(F)(F)F.OC(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000120A,7.5335,0.297691954879537,OC(=O)C(F)(F)F.NS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000121A,6.73525,0.3902643334971819,OC(=O)C(F)(F)F.CS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000122A,7.335,0.08909545442950459,OC(=O)C(F)(F)F.N(c1ccnc(Nc2ccc3ncsc3c2)n1)c1cccc2[nH]ncc12,True,False
GTC000123A,7.1370000000000005,0.11879393923934041,OC(=O)C(F)(F)F.Cc1nc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc2s1,True,False
GTC000124A,7.7185,0.07848885271170723,OC(=O)C(F)(F)F.Cn1ncc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc12,True,False
GTC000125A,6.6175,0.4391133111168454,OC(=O)C(F)(F)F.OC(=O)Cc1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000126A,7.5145,0.19304015126392818,OC(=O)C(F)(F)F.N(c1cccc(c1)-c1cc[nH]n1)c1nccc(Nc2cccc3[nH]ncc23)n1,True,False
GTC000127A,6.602,,COC(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000127B,7.064,0.23900209204105344,OC(=O)C(F)(F)F.COC(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000128A,6.659,,OC(=O)C(F)(F)F.CC(C)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000129A,6.6579999999999995,,OC(=O)C(F)(F)F.C1CN(CCO1)c1ccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)cc1,True,False
GTC000130A,8.154499999999999,0.4391133111168457,OC(=O)C(F)(F)F.N(c1cccc(c1)-c1nnn[nH]1)c1nccc(Nc2cccc3[nH]ncc23)n1,True,False
GTC000131A,7.1785,0.03747665940288666,OC(=O)C(F)(F)F.N#Cc1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000132A,6.722,0.2462600251766415,OC(=O)C(F)(F)F.FC(F)(F)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,True,False
GTC000133A,7.5565,0.29062088706767103,OC(=O)C(F)(F)F.O=C1NS(=O)(=O)c2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)ccc12,True,False
