PDB ID	Ligand ID	overlap	lig_vol	pock_vol	mean_as_solv_acc	hydrophobicity_score	convex_hull_volume
1fbz	CC1	100.0	747.51	1664.0	0.58	14.51	7213.41
1kqc	ACT	100.0	601.55	2188.03	0.55	8.44	10158.23
1w6j	R71	100.0	267.9	783.2	0.49	52.41	350.12
1zyu	SKM	100.0	136.32	457.24	0.6	24.88	75.69
2c92	TP6	100.0	2032.55	3991.47	0.46	32.93	17095.6
2c94	TSF	100.0	1212.4	4205.15	0.5	32.65	18358.31
2c9b	PUG	100.0	1590.98	5287.97	0.5	37.0	78231.85
2c9d	PHR	100.0	1034.09	9543.46	0.5	31.57	100366.3
3hig	BRN	100.0	626.69	1578.94	0.44	39.15	3527.29
3s92	JQ1	100.0	315.08	896.01	0.49	33.2	270.65
4af3	VX6	100.0	385.25	896.19	0.48	20.41	336.68
4kxc	GLU	100.0	6382.11	14615.22	0.53	22.81	116236.91
4kxd	GLU	100.0	6331.93	13762.37	0.53	22.76	116807.23
4y6d	48U	100.0	311.87	880.3	0.56	22.24	368.2
4y71	48W	100.0	313.98	761.32	0.55	24.26	318.99
4y7a	987	100.0	326.46	935.9	0.55	18.46	362.2
4y7b	44I	100.0	373.69	835.75	0.56	24.65	376.29
4yjv	4DT	100.0	412.58	833.59	0.48	25.42	205.1
4ypw	4FD	100.0	232.08	395.86	0.51	26.95	56.76
4ypx	4FG	100.0	77.95	361.38	0.49	24.33	40.17
4ypy	4F9	100.0	119.65	392.74	0.51	28.16	52.74
4ypz	4FL	100.0	108.04	380.72	0.5	26.05	54.04
4yq0	4FM	100.0	198.92	396.73	0.51	20.7	46.89
4yq1	4FN	100.0	367.4	668.7	0.54	20.73	177.38
4yq2	EFY	100.0	372.93	613.33	0.55	20.73	180.28
4yq3	4G1	100.0	290.82	633.41	0.53	20.73	192.54
4yq4	4G3	100.0	196.61	471.66	0.55	24.43	115.7
4yq5	4G0	100.0	187.02	503.66	0.5	24.43	158.97
4yq6	4FX	100.0	203.16	490.97	0.52	23.06	98.37
4yq7	4G4	100.0	234.41	573.1	0.52	27.82	188.82
4yq8	4FV	100.0	172.64	579.86	0.56	22.53	110.24
4yq9	4GO	100.0	161.49	406.42	0.52	20.7	72.04
4yqa	4GN	100.0	163.75	366.07	0.54	20.7	45.08
4yqb	4GM	100.0	181.48	446.04	0.53	26.25	82.3
4yqc	EFW	100.0	173.13	373.89	0.54	20.7	66.67
